type,name,info,boong,block_powder,skin_powder,path,island,stage,slot
string,string,string,int,int,int,string,int,int,int
skin,Chocolate penguin,It is a marshmallow penguin drizzled with a lot of chocolate syrup over its head.,4000,99999999,150,c1,-1,-1,-1
skin,Straberry penguin,It is a marshmallow penguin drizzled with a lot of strawberry syrup over its head.,4000,99999999,150,c2,-1,-1,-1
skin,Blueberry penguin,Its eyesight is slightly better than other penguins because of blueberry syrup.,4000,99999999,150,c3,-1,-1,-1
skin,Banana penguin,"A banana is originally white, but that doesn’t matter to it.",4000,99999999,150,c4,-1,-1,-1
skin,Melon penguin,It is an implicit rule to bring a Melon Penguin when you come back.,4000,99999999,150,c5,-1,-1,-1
skin,Grape penguin,"After the day when it ate a lot of grapes, its whole body was covered with purple.",4000,99999999,150,c6,-1,-1,-1
skin,Vanila penguin,"It seems to be expected to have a wonderful nickname, Nilla Nilla Vanilla.",4000,99999999,150,c7,-1,-1,-1
skin,Broccoli penguin,The fact that broccoli is not only good for your health but also look delicious!,4000,99999999,150,c8,-1,-1,-1
skin,Carrot penguin,It is sometimes targeted by rabbits because of its fresh carrot color.,4000,99999999,150,c9,-1,-1,-1
skin,Eggplant penguin,It waits for a day when it can appeal to those who hate eggplant. ,4000,99999999,150,c10,-1,-1,-1
skin,Mint chocolate penguin,"It hasn’t washed for a long time, so it became a mushroom. However, it will return to its original state by taking a shower.",6000,99999999,220,b1,-1,-1,-1
skin,Watermelon penguin,"It is a popular costume at Ice Land’s summer festival. Actually, it turns red because it is shy.",6000,99999999,220,b2,-1,-1,-1
skin,LEGO penguin,It will hurt if you step on it. Another penguin which rides on its top hesitates a little.,6000,99999999,220,b3,-1,-1,-1
skin,Milk penguin,It doesn’t give up identification as a penguin. It just wants to make the milk-flavored cream stand out.  ,6000,99999999,220,b4,-1,-1,-1
skin,Mushroom penguin,"Mint syrup is drizzled because of a rumor that everyone like it, but someone doesn’t. ",6000,99999999,220,b5,-1,-1,-1
skin,Avocado penguin,Someday it wants to be nice brunch duo with Salmon Sushi Penguin.,6000,99999999,220,b6,-1,-1,-1
skin,Salmon sushi penguin,"Put the softly melting salmon on its head, dip its beak in wasabi, and then complete the salmon sushi!  ",6000,99999999,220,b7,-1,-1,-1
skin,Earth penguin,"The earth is round, so if you keep going forward you will arrive at the dessert world. ",6000,99999999,220,b8,-1,-1,-1
skin,Zombie penguin,Growl….Growl… Growl…. ,10000,99999999,400,a1,-1,-1,-1
skin,Angel penguin,"It seems to be kind like an angel, but it is actually very bad. ",10000,99999999,400,a2,-1,-1,-1
skin,Devil penguin,"It seems to be bad like a devil, but it is actually very kind. ",10000,99999999,400,a3,-1,-1,-1
skin,Wizard penguin,Sugardium Leviosa. Penguins which want to fly often used to ride a broom. ,10000,99999999,400,a4,-1,-1,-1
skin,Charlie penguin,….(Quite. It doesn’t answer when somebody talk to it.),10000,99999999,400,a5,-1,-1,-1
skin,Honeybee penguin,"To harvest honey, it dresses up like a honeybee. Sometimes it dances with swaying its hips.",10000,99999999,400,a6,-1,-1,-1
skin,Cherry blossom penguin,It feels happy to enjoy a picnic and pick berries at the Ice Cream Hills.,99999999,99999999,400,s1,-1,-1,-1
skin,Hawaiian penguin,"After marshmallow penguins clean up, they enjoy taking a break at the Parfait Resort.",99999999,99999999,400,s2,-1,-1,-1
skin,Librarian penguin,"When you make a noise in the Cracker Library, somewhere it appears quietly and warn you.",99999999,99999999,400,s3,-1,-1,-1
skin,Pierrot penguin,"When a party is held at the Cotton Candy Castle, a clown with cotton candy hair and a berry nose appears. ",99999999,99999999,400,s4,-1,-1,-1
room,Ice cream Ornament,-1,1000,99999999,99999999,icecream_corn_deco,2,10,0
room,Ice cream Couch,-1,1000,99999999,99999999,icecream_chair_deco,2,15,1
room,Berry Window,-1,1500,99999999,99999999,icecream_window_deco,2,20,2
room,Picnic Lunch Bed,-1,2000,99999999,99999999,icecream_bed_deco,2,25,3
room,Picnic Memento Shelf,-1,2500,99999999,99999999,icecream_shelf_deco,2,30,4
room,Parfait Ornament,-1,1000,99999999,99999999,parfait_ornament_deco,3,10,0
room,Jelly Lifebelt,-1,1500,99999999,99999999,parfait_tube_deco,3,15,1
room,Sugar powdered Plants,-1,1500,99999999,99999999,parfait_plant_deco,3,20,2
room,Mint Scent Sofa,-1,2000,99999999,99999999,parfait_sofa_deco,3,25,3
room,Mint Choco Door,-1,2500,99999999,99999999,parfait_door_deco,3,30,4
room,Cookie Bundle,-1,1000,99999999,99999999,cracker_bundle_deco,4,10,0
room,Down Stair,-1,1000,99999999,99999999,cracker_stair_deco,4,15,1
room,Book Shelf,-1,1500,99999999,99999999,cracker_shelf_deco,4,20,2
room,Cookie Telescope,-1,2000,99999999,99999999,cracker_telescope_deco,4,25,3
room,Cracker Universe Poster,-1,2500,99999999,99999999,cracker_poster_deco,4,30,4
room,Doughnut Ornament,-1,1000,99999999,99999999,cottoncandy_ornament_deco,5,10,0
room,Cotton Candy Garden,-1,1000,99999999,99999999,cottoncandy_garden_deco,5,15,1
room,Cotton Candy Basket,-1,1500,99999999,99999999,cottoncandy_basket_deco,5,20,2
room,Cotton Candy Bench,-1,2000,99999999,99999999,cottoncandy_bench_deco,5,25,3
room,Pinwheel and Shelf,-1,2500,99999999,99999999,cottoncandy_shelf_deco,5,30,4
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
blockPiece,아이스크림1,아이스크림 섬설명,99999999,100,99999999,store/block/icecream1,,,
blockPiece,아이스크림2,아이스크림 섬설명,99999999,100,99999999,store/block/icecream2,,,
blockPiece,아이스크림3,아이스크림 섬설명,99999999,100,99999999,store/block/icecream3,,,
blockPiece,아이스크림4,아이스크림 섬설명,99999999,100,99999999,store/block/icecream4,,,
blockPiece,아이스크림5,아이스크림 섬설명,99999999,100,99999999,store/block/icecream5,,,
