title,width,height,data,posA,posB,parfait,star_limit,title_text,snow_total,,,,
0,7,7,"29,29,29,29,29,29,29,29,0,0,0,0,8,29,29,0,8,8,8,8,29,29,0,20,8,20,0,29,29,8,8,8,8,0,29,29,8,0,0,0,0,29,29,29,29,29,29,29,29",02/01/03,04/01/03,0,100/200/300,"0,1",12,,,"2,1,3","4,1,3"
0,5,7,"29,29,29,29,29,29,0,0,8,29,29,0,0,8,29,29,0,0,20,29,29,0,0,8,29,29,20,0,8,29,29,29,29,29,29",01/01/05,03/01/03,0,100/200/300,"0,2",9,,,"1,1,5","3,1,3"
0,5,7,"29,29,29,29,29,29,20,0,8,29,29,0,0,8,29,29,0,0,0,29,29,0,0,8,29,29,20,0,8,29,29,29,29,29,29",01/01/05,01/01/01,0,100/200/300,"0,3",9,,,"1,1,5","1,1,1"
0,7,5,"29,29,29,29,29,29,29,29,20,0,0,10,10,29,29,0,0,26,10,10,29,29,20,0,0,10,10,29,29,29,29,29,29,29,29",01/01/03,01/01/01,0,100/200/300,"0,4",12,,,"1,1,3","1,1,1"
0,7,4,"29,29,29,29,29,29,29,29,20,0,0,0,0,29,29,30,8,8,8,10,29,29,29,29,29,29,29,29",01/01/01,01/02/02,0,100/200/300,"0,5",5,,,"1,1,1","1,2,2"
,,,,,,,,,,,,,
1,7,6,"29,29,29,29,29,29,29,29,8,0,0,0,8,29,29,0,0,0,0,0,29,29,8,20,0,0,8,29,29,8,8,20,8,8,29,29,29,29,29,29,29,29",03/01/04,02/01/03,0,100/200/300,"1,1",10,,,"3,1,4","2,1,3"
1,7,5,"29,29,29,29,29,29,29,29,20,0,10,10,10,29,29,20,0,10,39,10,29,29,0,26,10,10,10,29,29,29,29,29,29,29,29",01/01/01,01/01/02,0,100/200/300,"1,2",10,,,"1,1,1","1,1,2"
1,6,5,"29,29,29,29,29,29,29,20,0,10,10,29,29,20,0,0,0,29,29,0,26,10,29,29,29,29,29,29,29,29",01/01/01,01/01/02,0,100/200/300,"1,3",8,,,"1,1,1","1,1,2"
1,7,5,"29,29,29,29,29,29,29,29,20,0,10,10,10,29,29,20,0,10,39,10,29,29,0,26,10,10,10,29,29,29,29,29,29,29,29",01/01/01,01/01/02,0,100/200/300,"1,4",11,,,"1,1,1","1,1,2"
1,7,7,"29,29,29,29,29,29,29,29,0,0,0,29,29,29,29,10,28,0,29,29,29,29,10,10,0,0,20,29,29,10,10,10,0,0,29,29,29,10,10,10,20,29,29,29,29,29,29,29,29",05/01/05,05/01/03,0,100/200/300,"1,5",17,,,"5,1,5","5,1,3"
1,6,6,"29,29,29,29,29,29,29,29,0,0,20,29,29,29,20,0,0,29,29,10,28,0,25,29,29,29,10,0,10,29,29,29,29,29,29,29",04/01/01,02/01/02,0,100/200/300,"1,6",9,,,"4,1,1","2,1,2"
1,7,6,"29,29,29,29,29,29,29,29,29,29,10,10,10,29,29,20,0,0,20,29,29,29,0,0,26,10,10,29,29,29,29,29,10,29,29,29,29,29,29,29,29,29",01/01/02,04/01/02,0,100/200/300,"1,7",10,,,"1,1,2","4,1,2"
1,6,7,"29,29,29,29,29,29,29,20,0,0,29,29,29,0,0,0,29,29,29,0,29,0,0,29,29,0,0,0,29,29,29,20,0,0,29,29,29,29,29,29,29,29",01/01/01,01/01/05,0,100/200/300,"1,8",13,,,"1,1,1","1,1,5"
1,8,7,"29,29,29,29,29,29,29,29,29,29,29,0,29,29,29,29,29,29,0,0,0,0,20,29,29,29,10,29,25,0,0,29,29,10,10,10,10,0,20,29,29,29,10,29,10,0,29,29,29,29,29,29,29,29,29,29",06/01/02,06/01/04,0,100/200/300,"1,9",16,,,"6,1,2","6,1,4"
1,6,8,"29,29,29,29,29,29,29,0,0,0,0,29,29,25,0,10,0,29,29,10,0,0,20,29,29,20,0,0,10,29,29,0,10,0,27,29,29,0,0,0,0,29,29,29,29,29,29,29",01/01/04,04/01/03,0,100/200/300,"1,10",20,,,"1,1,4","4,1,3"
1,7,7,"29,29,29,29,29,29,29,29,20,0,20,0,0,29,29,0,0,0,0,25,29,29,10,10,10,39,10,29,29,10,10,10,10,10,29,29,29,29,10,29,29,29,29,29,29,29,29,29,29",01/01/01,03/01/01,0,100/200/300,"1,11",17,,,"1,1,1","3,1,1"
1,7,7,"29,29,29,29,29,29,29,29,29,0,0,10,10,29,29,0,0,10,10,10,29,29,0,0,26,10,10,29,29,20,0,10,10,10,29,29,29,0,20,10,10,29,29,29,29,29,29,29,29",01/01/04,03/01/05,0,100/200/300,"1,12",20,,,"1,1,4","3,1,5"
,,,,,,,,,,,,,
2,7,5,"29,29,29,29,29,29,29,29,8,22,0,23,8,29,29,20,0,0,0,20,29,29,8,21,0,24,8,29,29,29,29,29,29,29,29",01/01/02,05/01/02,1,100/200/300,"2,1",9,,,"1,1,2","5,1,2"
2,7,7,"29,29,29,29,29,29,29,29,29,10,28,0,20,29,29,32,10,34,0,0,29,29,29,10,0,0,0,29,29,29,20,0,0,31,29,29,29,29,33,29,29,29,29,29,29,29,29,29,29",02/01/04,05/01/01,1,100/200/300,"2,2",15,,,"2,1,4","5,1,1"
2,8,5,"29,29,29,29,29,29,29,29,29,29,23,20,0,29,29,29,29,29,0,0,10,10,10,29,29,34,20,26,10,32,31,29,29,29,29,29,29,29,29,29",02/01/03,03/01/01,1,100/200/300,"2,3",11,,,"2,1,3","3,1,1"
2,7,6,"29,29,29,29,29,29,29,29,20,0,0,0,20,29,29,23,10,10,28,0,29,29,0,10,32,24,29,29,29,0,10,31,10,29,29,29,29,29,29,29,29,29",01/01/01,05/01/01,1,100/200/300,"2,4",15,,,"1,1,1","5,1,1"
2,5,8,"29,29,29,29,29,29,20,0,20,29,29,0,0,25,29,29,31,10,10,29,29,22,10,10,29,29,33,10,10,29,29,34,10,10,29,29,29,29,29,29",01/01/01,03/01/01,1,100/200/300,"2,5",15,,,"1,1,1","3,1,1"
2,9,6,"29,29,29,29,29,29,29,29,29,29,29,29,29,20,0,29,29,29,29,29,0,0,0,0,0,20,29,29,32,24,23,0,0,0,25,29,29,0,0,0,0,21,10,10,29,29,29,29,29,29,29,29,29,29",04/01/01,07/01/02,1,100/200/300,"2,6",19,,,"4,1,1","7,1,2"
2,8,6,"29,29,29,29,29,29,29,29,29,33,10,28,0,20,34,29,29,29,10,0,31,0,29,29,29,29,29,20,0,0,10,29,29,29,29,29,29,22,29,29,29,29,29,29,29,29,29,29",05/01/01,03/01/03,1,100/200/300,"2,7",12,,,"5,1,1","3,1,3"
2,10,6,"29,29,29,29,29,29,29,29,29,29,29,20,0,0,10,10,21,0,0,29,29,24,0,0,10,10,28,0,0,29,29,0,0,26,10,10,0,0,22,29,29,20,23,0,10,10,0,0,0,29,29,29,29,29,29,29,29,29,29,29",01/01/01,01/01/04,1,100/200/300,"2,8",28,,,"1,1,1","1,1,4"
2,8,7,"29,29,29,29,29,29,29,29,29,29,29,33,29,29,29,29,29,0,26,10,10,10,34,29,29,0,20,10,22,31,29,29,29,0,0,0,29,0,29,29,29,29,29,0,0,20,29,29,29,29,29,29,29,29,29,29",02/01/03,05/01/05,1,100/200/300,"2,9",16,,,"2,1,3","5,1,5"
2,9,7,"29,29,29,29,29,29,29,29,29,29,20,0,0,0,0,0,20,29,29,0,10,32,10,10,28,0,29,29,0,29,23,10,10,29,29,29,29,0,10,31,10,10,29,29,29,29,0,0,24,29,29,29,29,29,29,29,29,29,29,29,29,29,29",01/01/01,07/01/01,1,100/200/300,"2,10",23,,,"1,1,1","7,1,1"
,,,,,,,,,,,,,
3,6,5,"29,29,29,29,29,29,29,20,7,7,20,29,29,29,0,29,29,29,29,29,7,0,7,29,29,29,29,29,29,29",2001.1.1,2004.1.1,0,100/200/300,"3,1",2,,,"1,1,1","4,1,1"
