title,width,height,data,posA,posB,parfait,star_limit,title_text,snow_total,,,,
0,7,5,"29,29,29,29,29,29,29,29,20,0,0,0,0,29,8,8,8,8,8,8,8,29,8,8,20,8,8,29,29,29,29,29,29,29,29",01/1/1,03/1/3,0,10/20/30,튜토리얼(1),4,,,"3,1,3","1,1,1"
0,7,7,"29,29,29,29,29,29,29,29,0,0,0,0,8,29,29,0,8,8,8,8,29,29,0,20,8,20,0,29,29,8,8,8,8,0,29,29,8,0,0,0,0,29,29,29,29,29,29,29,29",02/1/3,04/1/3,0,10/20/30,튜토리얼(2),12,,,"2,1,3","4,1,3"
0,5,7,"29,29,29,29,29,29,0,0,8,29,29,0,0,8,29,29,0,0,20,29,29,0,0,8,29,29,20,0,8,29,29,29,29,29,29",01/1/5,03/1/3,0,10/20/30,튜토리얼(3),9,,,"1,1,5","3,1,3"
0,5,7,"29,29,29,29,29,29,20,0,8,29,29,0,0,8,29,29,0,0,0,29,29,0,0,8,29,29,20,0,8,29,29,29,29,29,29",01/1/5,01/1/1,0,10/20/30,튜토리얼(4),9,,,"1,1,5","1,1,1"
0,6,5,"29,29,29,29,29,29,29,0,26,10,10,29,29,20,8,10,10,29,29,20,0,0,0,29,29,29,29,29,29,29",01/1/3,01/1/2,0,10/20/30,튜토리얼(5),8,,,"1,1,3","1,1,2"
0,7,4,"29,29,29,29,29,29,29,29,20,0,0,0,0,29,29,30,8,8,8,10,29,29,29,29,29,29,29,29",01/1/1,01/2/2,0,10/20/30,튜토리얼(6),5,,,"1,1,1","1,2,2"
,,,,,,,,,,,,,
1,7,6,"29,29,29,29,29,29,29,29,8,0,0,0,8,29,29,0,0,0,0,0,29,29,8,20,0,0,8,29,29,8,8,20,8,8,29,29,29,29,29,29,29,29",03/1/4,02/1/3,0,9/15/50,시작,10,,,"3,1,4","2,1,3"
1,6,5,"29,29,29,29,29,29,29,20,0,10,10,29,29,20,0,0,0,29,29,0,26,10,29,29,29,29,29,29,29,29",01/1/1,01/1/2,0,12/30/70,징검다리,8,,,"1,1,1","1,1,2"
1,7,7,"29,29,29,29,29,29,29,29,0,0,0,29,29,29,29,10,28,0,29,29,29,29,10,10,0,0,20,29,29,10,10,10,0,0,29,29,29,10,10,10,20,29,29,29,29,29,29,29,29",05/1/5,05/1/3,0,25/40/100,눈 쓸기,17,,,"5,1,5","5,1,3"
1,6,6,"29,29,29,29,29,29,29,29,0,0,20,29,29,29,20,0,0,29,29,10,28,0,25,29,29,29,10,0,10,29,29,29,29,29,29,29",04/1/1,02/1/2,0,12/30/70,내리기,9,,,"4,1,1","2,1,2"
,,,,,,,,,,,,,
2,7,5,"29,29,29,29,29,29,29,29,8,22,0,23,8,29,29,20,0,0,0,20,29,29,8,21,0,24,8,29,29,29,29,29,29,29,29",01/1/2,05/1/2,1,7/20/50,파르페,9,,,"1,1,2","5,1,2"
2,7,7,"29,29,29,29,29,29,29,29,29,10,28,0,20,29,29,32,10,34,0,0,29,29,29,10,0,0,0,29,29,29,20,0,0,31,29,29,29,29,33,29,29,29,29,29,29,29,29,29,29",02/1/4,05/1/1,1,25/50/100,차근차근,15,,,"2,1,4","5,1,1"
2,7,6,"29,29,29,29,29,29,29,29,20,0,0,0,20,29,29,23,10,10,28,0,29,29,0,10,32,24,29,29,29,0,10,31,10,29,29,29,29,29,29,29,29,29",01/1/1,05/1/1,1,14/30/70,후진주차,15,,,"1,1,1","5,1,1"
2,5,8,"29,29,29,29,29,29,20,0,20,29,29,0,0,25,29,29,31,10,10,29,29,22,10,10,29,29,33,10,10,29,29,34,10,10,29,29,29,29,29,29",01/1/1,03/1/1,1,25/50/100,구덩이,15,,,"1,1,1","3,1,1"
,,,,,,,,,,,,,
3,6,5,"29,29,29,29,29,29,29,20,7,7,20,29,29,29,0,29,29,29,29,29,7,0,7,29,29,29,29,29,29,29",01/1/1,04/1/1,0,005/10/30,크래커,2,,,"1,1,1","4,1,1"
3,8,5,"29,29,29,29,29,29,29,29,29,20,0,0,0,0,20,29,29,0,26,10,17,10,0,29,29,29,10,0,29,29,29,29,29,29,29,29,29,29,29,29",01/1/1,06/1/1,0,10/30/50,구덩이(2),10,,,"1,1,1","6,1,1"
3,9,5,"29,29,29,29,29,29,29,29,29,29,29,7,7,7,7,7,29,29,29,29,7,20,39,0,7,29,29,29,20,7,7,0,7,7,0,29,29,29,29,29,29,29,29,29,29",01/1/3,03/1/2,0,7/15/50,주고받기,3,,,"1,1,3","3,1,2"
3,11,7,"29,29,29,29,29,29,29,29,29,29,29,29,20,7,7,7,7,29,29,29,29,29,29,20,7,7,7,7,29,29,29,0,29,29,29,29,29,7,6,7,7,26,17,29,29,29,29,29,7,6,7,7,26,17,29,29,29,29,29,29,29,29,29,29,0,29,29,29,29,29,29,29,29,29,29,29,29",01/1/1,01/1/2,0,11/20/50,릴레이,2,,,"1,1,1","1,1,2"
,,,,,,,,,,,,,
4,9,4,"29,29,29,29,29,29,29,29,29,29,20,4,4,0,4,4,0,29,29,0,2,2,0,2,2,20,29,29,29,29,29,29,29,29,29,29",01/1/1,07/1/2,0,6/20/50,바람길,4,,,"1,1,1","7,1,2"
4,7,6,"29,29,29,29,29,29,29,29,0,20,1,4,4,29,29,0,0,1,0,0,29,29,0,0,1,0,3,29,29,0,20,2,2,3,29,29,29,29,29,29,29,29",02/1/1,02/1/4,0,9/20/50,소용돌이,9,,,"2,1,1","2,1,4"
4,8,6,"29,29,29,29,29,29,29,29,29,20,0,0,0,29,29,29,29,0,0,0,2,2,10,29,29,0,20,0,0,29,29,29,29,0,26,10,10,29,29,29,29,29,29,29,29,29,29,29",01/1/1,02/1/3,0,20/50/100,왕좌,13,,,"1,1,1","2,1,3"
4,8,6,"29,29,29,29,29,29,29,29,29,10,10,0,29,29,29,29,29,27,14,3,0,0,1,29,29,0,10,10,10,28,0,29,29,20,1,0,0,0,20,29,29,29,29,29,29,29,29,29",01/1/4,06/1/4,0,25/50/100,일시정지,13,,,"1,1,4","6,1,4"
